Customer ID,Customer Name,Recency,Frequency,Monetary,R_log,F_log,M_log,Cluster,Segment
AA-10315,Alex Avila,185,5,5563.56,5.225746673713202,1.791759469228055,8.624173194995297,1,At-Risk
AA-10375,Allen Armold,20,9,1056.39,3.044522437723423,2.302585092994046,6.9635588865975615,0,Champions
AA-10480,Andrew Allen,260,4,1790.51,5.564520407322694,1.6094379124341003,7.4908141186440265,1,At-Risk
AA-10645,Anna Andreadi,56,6,5086.93,4.04305126783455,1.9459101490553132,8.534626347063682,2,Hibernating
AB-10015,Aaron Bergman,416,3,886.16,6.0330862217988015,1.3862943611198906,6.788025349357009,1,At-Risk
AB-10060,Adam Bellavance,55,8,7755.62,4.02535169073515,2.1972245773362196,8.956301951280091,2,Hibernating
AB-10105,Adrian Barton,42,10,14473.57,3.7612001156935624,2.3978952727983707,9.580148595609625,2,Hibernating
AB-10150,Aimee Bixby,42,5,966.71,3.7612001156935624,1.791759469228055,6.874932455614634,1,At-Risk
AB-10165,Alan Barnes,26,8,1113.84,3.295836866004329,2.1972245773362196,7.016466175839583,0,Champions
AB-10255,Alejandro Ballentine,167,9,914.53,5.123963979403259,2.302585092994046,6.819503132556374,2,Hibernating
AB-10600,Ann Blume,51,4,1515.86,3.9512437185814275,1.6094379124341003,7.324397687680427,1,At-Risk
AC-10420,Alyssa Crouse,233,3,925.8,5.455321115357702,1.3862943611198906,6.831737792558221,1,At-Risk
AC-10450,Amy Cox,12,7,5527.85,2.5649493574615367,2.0794415416798357,8.617735116290048,0,Champions
AC-10615,Ann Chong,7,5,2537.69,2.0794415416798357,1.791759469228055,7.8394034789373235,0,Champions
AC-10660,Anna Chung,283,5,657.32,5.648974238161206,1.791759469228055,6.489691135297457,1,At-Risk
AD-10180,Alan Dominguez,30,8,6106.88,3.4339872044851463,2.1972245773362196,8.717335019780108,2,Hibernating
AF-10870,Art Ferguson,42,7,2052.91,3.7612001156935624,2.0794415416798357,7.627500572585962,0,Champions
AF-10885,Art Foster,416,4,861.56,6.0330862217988015,1.6094379124341003,6.759904711703358,1,At-Risk
AG-10270,Alejandro Grove,279,5,2582.9,5.634789603169249,1.791759469228055,7.857055164463238,1,At-Risk
AG-10300,Aleksandra Gannaway,119,4,367.55,4.787491742782046,1.6094379124341003,5.909576387635298,3,Loyal
AG-10330,Alex Grayson,9,5,660.97,2.302585092994046,1.791759469228055,6.495220237689608,0,Champions
AG-10390,Allen Goldenen,115,5,200.94,4.7535901911063645,1.791759469228055,5.307970623576175,3,Loyal
AG-10495,Andrew Gjertsen,79,8,2356.86,4.382026634673881,2.1972245773362196,7.76550970698526,2,Hibernating
AG-10525,Andy Gerbode,846,4,1455.04,6.741700694652055,1.6094379124341003,7.283475700906741,1,At-Risk
AG-10675,Anna Gayman,98,7,3489.04,4.59511985013459,2.0794415416798357,8.157668476448844,2,Hibernating
AG-10765,Anthony Garverick,78,4,170.58,4.3694478524670215,1.6094379124341003,5.145049630144819,3,Loyal
AG-10900,Arthur Gainer,97,10,4510.8,4.584967478670572,2.3978952727983707,8.414451465954324,2,Hibernating
AH-10030,Aaron Hawkins,13,7,1744.7,2.6390573296152584,2.0794415416798357,7.464910900330734,0,Champions
AH-10075,Adam Hart,35,10,3250.34,3.58351893845611,2.3978952727983707,8.08682249804063,2,Hibernating
AH-10120,Adrian Hane,61,7,1735.51,4.127134385045092,2.0794415416798357,7.459632630877596,2,Hibernating
AH-10195,Alan Haines,56,4,1587.45,4.04305126783455,1.6094379124341003,7.370513976978741,1,At-Risk
AH-10210,Alan Hwang,7,9,4805.34,2.0794415416798357,2.302585092994046,8.477691158696317,0,Champions
AH-10465,Amy Hunt,231,5,2495.39,5.44673737166631,1.791759469228055,7.822600967283559,1,At-Risk
AH-10585,Angele Hood,22,4,738.5,3.1354942159291497,1.6094379124341003,6.6059742821508545,0,Champions
AH-10690,Anna Häberlin,411,12,7888.29,6.021023349349527,2.5649493574615367,8.97326142246509,2,Hibernating
AI-10855,Arianne Irving,14,10,4375.79,2.70805020110221,2.3978952727983707,8.384070857972741,0,Champions
AJ-10780,Anthony Jacobs,76,7,4867.34,4.343805421853684,2.0794415416798357,8.490508295546837,2,Hibernating
AJ-10795,Anthony Johnson,167,7,4501.39,5.123963979403259,2.0794415416798357,8.412363645879935,2,Hibernating
AJ-10945,Ashley Jarboe,86,7,1839.24,4.465908118654584,2.0794415416798357,7.517651276879763,2,Hibernating
AJ-10960,Astrea Jones,75,3,629.25,4.330733340286331,1.3862943611198906,6.446116566068029,3,Loyal
AM-10360,Alice McCarthy,29,5,814.01,3.4011973816621555,1.791759469228055,6.703200383104238,0,Champions
AM-10705,Anne McFarland,163,8,5664.02,5.099866427824199,2.1972245773362196,8.642065703906008,2,Hibernating
AO-10810,Anthony O'Donnell,502,1,161.28,6.220590170099739,0.6931471805599453,5.089323238338246,3,Loyal
AP-10720,Anne Pryor,42,8,1638.55,3.7612001156935624,2.1972245773362196,7.402177092922451,0,Champions
AP-10915,Arthur Prichep,99,10,3323.56,4.605170185988092,2.3978952727983707,8.109092613506391,2,Hibernating
AR-10345,Alex Russell,112,4,1055.69,4.727387818712341,1.6094379124341003,6.96289665997834,1,At-Risk
AR-10405,Allen Rosenblatt,126,5,2236.13,4.844187086458591,1.791759469228055,7.712949073346529,1,At-Risk
AR-10510,Andrew Roberts,15,5,264.86,2.772588722239781,1.791759469228055,5.582969854439453,0,Champions
AR-10540,Andy Reiter,7,6,6608.45,2.0794415416798357,1.9459101490553132,8.79625572212209,0,Champions
AR-10570,Anemone Ratner,535,1,88.15,6.284134161070802,0.6931471805599453,4.49032034430915,3,Loyal
AR-10825,Anthony Rawles,59,8,4523.34,4.0943445622221,2.1972245773362196,8.417226989142362,2,Hibernating
